0,"1462978021288288256,2021-11-23T02:55:15.000Z,RT @TheRickyDavila: Since President Biden was sworn in on January 20th, both seditious white supremacists Ted Cruz and Josh Hawley have del\u2026"
0,"1462978095439388674,2021-11-23T02:55:33.000Z,@idkMUFC @N09434002 @KhalidAslamSYM @N09434002 believes that Bd\u2019s Test status isn\u2019t questionable and in a jeopardy just because ICC cannot revoke it! \U0001f61c\nI don\u2019t think there is any rule or a process where a Team\u2019s test status cannot be be revoked by the ICC! \nGod bless Bd Cricket &amp; @N09434002 !\n\U0001f609 https://t.co/kJC0cvh1Kc"
0,"1462978123247534080,2021-11-23T02:55:40.000Z,RT @lucyfig513: Can\u2019t believe these last 2 years I was hailed a hero for battling Covid from the front lines as a healthcare worker now I a\u2026"
1,"1462978165878394886,2021-11-23T02:55:50.000Z,Tune in now to watch Amy continue to rep Oakland this week on Jeopardy! https://t.co/stQN7aVB9G"
1,"1462978259759644680,2021-11-23T02:56:12.000Z,@halfmarathonman @Jeopardy Millennia of evolution and technological development led us to the ability to share our thoughts with strangers anywhere in the world, and you\u2019ve chosen to use all of that to be pointlessly cruel about someone on a game show."
1,"1462978417138225157,2021-11-23T02:56:50.000Z,The latest My Playful News! https://t.co/n9LigbZrWV Thanks to @_thejeopardyfan #jeopardy #funko"
1,"1462978492887277580,2021-11-23T02:57:08.000Z,if i were on jeopardy and didn\u2019t make it to final jeopardy, i ABSOLUTELY would kill myself"
1,"1462978509819756549,2021-11-23T02:57:12.000Z,@AmodioMatt Thanks for replying, Jeopardy champion Matt!"
1,"1462978562277916684,2021-11-23T02:57:24.000Z,@AmodioMatt @Berns01255055 @raqcitybitch @AhNeeOh1 @usatodaylife @Jeopardy GOTTEM \U0001f923\n\nthe coward deleted all his tweets xD"
1,"1462978752346918914,2021-11-23T02:58:10.000Z,@ehalexiss Wait, everyone makes it to final jeopardy???"
1,"1462978892793319424,2021-11-23T02:58:43.000Z,@TheABomb @Jeopardy I guess so. And you chose to spend some time responding. \U0001f44d\U0001f3fb"
0,"1462978894336831488,2021-11-23T02:58:43.000Z,@halfmarathonman @Jeopardy Happy to help, Nazi-lover!"
1,"1462978986334724098,2021-11-23T02:59:05.000Z,Humanity saw this man give his life to protect humanity from a monster, only then did humanity realize. He was the real deal. He cared enough to put his life in jeopardy for us all. That is a beautiful thing. It\u2019s the innocence that we have all seemed to forgotten this"
0,"1462979149447016452,2021-11-23T02:59:44.000Z,@TheTorontoSun @joe_warmington Freedom of all Canadians in jeopardy?"
0,"1462979213032673280,2021-11-23T02:59:59.000Z,WARMINGTON: Unvaccined TTC instructor's career in jeopardy. https://t.co/PK3d5KZTqm"
1,"1462979252840771591,2021-11-23T03:00:09.000Z,I'm watching #Jeopardy! 2021x211 ""Amy Schneider, Heidi Stumb, Mack Hayden"" on #CBS29. #KBAK https://t.co/oGqKqcSzgY #trakt"
1,"1462979308473905155,2021-11-23T03:00:22.000Z,RT @bieberfever: . @justinbieber was in the @amas category on @jeopardy \u2728 don\u2019t miss the AMAs this Sunday at 8/7c on abc\U0001f49c https://t.co/zmSj\u2026"
1,"1462979400119422980,2021-11-23T03:00:44.000Z,@pantaleonmik_ jeopardy!!\U0001f973\U0001f973"
0,"1462979565920342016,2021-11-23T03:01:24.000Z,Pace realizing his job\u2019s in jeopardy after Nagy loses to the Ravens. https://t.co/CyGO09qK22"
1,"1462979691623579654,2021-11-23T03:01:53.000Z,Amy's hair looks great. #jeopardy"
1,"1462979905600335876,2021-11-23T03:02:45.000Z,RT @BiHungSyd: Category is #bull #mfm #mmf #hung #hungsydney #teamuncut #bullhung #jeopardy @LPSG_com #forey https://t.co/9WpjqWTzvs"
1,"1462979982586642432,2021-11-23T03:03:03.000Z,Jeopardy finally let me take the anytime test again. I didn\u2019t know any of the geography questions. Also my brain was too slow to remember some answers even though I KNEW what it was."
1,"1462980036110258180,2021-11-23T03:03:16.000Z,Best thing since Tom Hanks was on Black Jeopardy. https://t.co/aUapk5XVh6"
1,"1462980056041463808,2021-11-23T03:03:20.000Z,Watching @Jeopardy and yeah.....thats a dude https://t.co/iwPeV61hhl"
0,"1462980313689337862,2021-11-23T03:04:22.000Z,@SenateForeign @SudanPMHamdok Our quest for democracy is in jeopardy actually the transition is hijacked in way it will be unsuitable to establish any foundation for democracy"
1,"1462980392328306690,2021-11-23T03:04:41.000Z,RT @Jeopardamy: Oh, and don't worry about me, the occasional stray transphobic comments I've seen have been *vastly* outnumbered by all the\u2026"
0,"1462980394123509760,2021-11-23T03:04:41.000Z,@SecBlinken Your excellency, if you continue supporting this agreement you would be remembered in the history as the US secretary of state who facilitate the way to a new dictatorship in sudan that put sudan's future at extreme jeopardy"
1,"1462980445478342660,2021-11-23T03:04:53.000Z,watching jeopardy"
1,"1462980602127286273,2021-11-23T03:05:31.000Z,@Jeopardy That\u2019s a man"
1,"1462980640836575238,2021-11-23T03:05:40.000Z,RT @GardenLarge: Might Jeopardy stimulate brains that haven't experienced much stimulation?"
0,"1462980752761520131,2021-11-23T03:06:06.000Z,RT @django: being a liberal means balancing defeats like the downfall of our constitutional democracy with victories like getting that one\u2026"
0,"1462980819941789696,2021-11-23T03:06:23.000Z,@rswaligora @Jeopardy What a dumb and very ignorant BIGOT. Reported. https://t.co/7EAF5MAeym"
1,"1462980821023928321,2021-11-23T03:06:23.000Z,RT @KAnderson_RFMS: RFM's sixth grade math playing review Jeopardy for house points today. Shout out to Ms. Wilson and Ms. Williams for som\u2026"
1,"1462980994261266436,2021-11-23T03:07:04.000Z,Almost thought the pumpkin pie was in jeopardy \U0001f974. No evaporated milk at Wegmans \U0001f631. Finally found some at Tops \U0001f967"
1,"1462981026125434880,2021-11-23T03:07:12.000Z,I often think Ashley Judd sang Before He Cheats. Maybe I'm just conflating the ""revenge"" theme of Double Jeopardy and the musical stylings of Wynonna Judd..."
1,"1462981050787942407,2021-11-23T03:07:18.000Z,RT @AmodioMatt: @halfmarathonman @Jeopardy I'm sorry this comment doesn't have more likes, but I think most of the people who share your mi\u2026"
1,"1462981078369587201,2021-11-23T03:07:24.000Z,Final Jeopardy !: \u201c20TH CENTURY PRESIDENTS\u201d (22/11/21) | DANGER! \u2013\xa0Danger! https://t.co/FVXTFqg5Pc"
1,"1462981122267172865,2021-11-23T03:07:35.000Z,@chriismolina Unfortch Jojo winning would\u2019ve been a tough hill to climb considering 1. Boomers hated her for having dance experience, 2. She\u2019s been in the bottom before and only a handful of people have won after being in jeopardy. She beat Kloots and Cody and that\u2019s what counts to me."
0,"1462981238965391364,2021-11-23T03:08:02.000Z,@halfmarathonman @Jeopardy You're a loser."
0,"1462981256032006144,2021-11-23T03:08:06.000Z,#JanhviKapoor #JFKassassination #JagoOngkirMurah #JeuneTalent #JKRowling #JIMIN #JUNGKOOK #JonaxxTSHKab40 #JusticeForGilang #Jinx #JENLISA #Jersey #jeopardy #JasminBhasin #JoburgCouncil #j https://t.co/zMrfiXaZ3z"
0,"1462981457014628356,2021-11-23T03:08:54.000Z,@ChrisCuomo The message is\u2026no one is safe in America! It proves \u201cthe person with the gun\u201d is in more jeopardy than the person without a gun. What a joke\u2026 not funny and very sad."
1,"1462981814650392580,2021-11-23T03:10:20.000Z,RT @RockyForkMS: Great engagement today in 6th grade with Expressions and Equations Jeopardy! Shout out to @ClassKhaleesi and @ms_williams6\u2026"
1,"1462981849131663362,2021-11-23T03:10:28.000Z,@_jeopardy Ih lucuk!"
1,"1462981870010970125,2021-11-23T03:10:33.000Z,The most upsetting thing is when you turn on the tv and wheel of fortune is on at the cusp where you miss jeopardy \u2026 ugh"
0,"1462981925430173705,2021-11-23T03:10:46.000Z,RT @TheRickyDavila: Since President Biden was sworn in on January 20th, both seditious white supremacists Ted Cruz and Josh Hawley have del\u2026"
0,"1462982122399010821,2021-11-23T03:11:33.000Z,RT @TheRickyDavila: Since President Biden was sworn in on January 20th, both seditious white supremacists Ted Cruz and Josh Hawley have del\u2026"
1,"1462982152954564613,2021-11-23T03:11:40.000Z,First place in jeopardy of losing this week. I beat my brother and it wasn\u2019t even close. \U0001f4aa\U0001f3fe"
1,"1462982313441042435,2021-11-23T03:12:19.000Z,didn\u2019t anticipate fighting for my life watching jeopardy with my family bc of a trans contestant and yet"
1,"1462982487831990276,2021-11-23T03:13:00.000Z,@_jeopardy Buat kamuflase di antara rerumputan!"
1,"1462982505372348424,2021-11-23T03:13:04.000Z,RT @RadioFreeTom: I feel bad for the lady in the middle who didn\u2019t make it to final Jeopardy, but I don\u2019t think I\u2019ve ever seen someone free\u2026"
0,"1462982604303454222,2021-11-23T03:13:28.000Z,RT @FacesOfCOVID: GERRI TRESS, 74, of Boothwyn, Pennsylvania, died of COVID on Nov. 14, 2021.\n\n""She also enjoyed getting together with frie\u2026"
1,"1462982782100164610,2021-11-23T03:14:10.000Z,The story, in full. #Jeoputants #Jeopardy https://t.co/O03DLTSvpE"
1,"1462982789876178944,2021-11-23T03:14:12.000Z,I think @KenJennings is the obvious choice for new permanent @Jeopardy host."
